run_id,axis,variant,k,seed,layer,period,share_pct
A_k12_s99,A_seeds,reference_prepro,12,99,meta,2007-2014,0.0
A_k12_s99,A_seeds,reference_prepro,12,99,meta,2015-2018,0.0
A_k12_s99,A_seeds,reference_prepro,12,99,meta,2019-2022,0.0
A_k12_s99,A_seeds,reference_prepro,12,99,meta,2023-2026,0.0
B_k10_s13,B_k,k10,10,13,operational,2007-2014,59.42397007778103
B_k10_s13,B_k,k10,10,13,operational,2015-2018,50.05254990906906
B_k10_s13,B_k,k10,10,13,operational,2019-2022,38.0327896701864
B_k10_s13,B_k,k10,10,13,operational,2023-2026,28.89567238615503
B_k10_s13,B_k,k10,10,13,institutional,2007-2014,28.63674889322283
B_k10_s13,B_k,k10,10,13,institutional,2015-2018,32.25497224317223
B_k10_s13,B_k,k10,10,13,institutional,2019-2022,40.28565624571153
B_k10_s13,B_k,k10,10,13,institutional,2023-2026,40.08023442552637
B_k10_s13,B_k,k10,10,13,technology,2007-2014,11.035007359714655
B_k10_s13,B_k,k10,10,13,technology,2015-2018,14.06145922586802
B_k10_s13,B_k,k10,10,13,technology,2019-2022,15.614717349219266
B_k10_s13,B_k,k10,10,13,technology,2023-2026,23.478484129596687
B_k10_s13,B_k,k10,10,13,meta,2007-2014,0.9042768331710249
B_k10_s13,B_k,k10,10,13,meta,2015-2018,3.63101771368747
B_k10_s13,B_k,k10,10,13,meta,2019-2022,6.066838219792569
B_k10_s13,B_k,k10,10,13,meta,2023-2026,7.54560985143371
B_k10_s21,B_k,k10,10,21,operational,2007-2014,68.2591560401003
B_k10_s21,B_k,k10,10,21,operational,2015-2018,56.76578785791207
B_k10_s21,B_k,k10,10,21,operational,2019-2022,49.14206424356962
B_k10_s21,B_k,k10,10,21,operational,2023-2026,32.02840251628534
B_k10_s21,B_k,k10,10,21,institutional,2007-2014,21.622028972888074
B_k10_s21,B_k,k10,10,21,institutional,2015-2018,31.7446398112952
B_k10_s21,B_k,k10,10,21,institutional,2019-2022,42.86687942469952
B_k10_s21,B_k,k10,10,21,institutional,2023-2026,39.21443903934308
B_k10_s21,B_k,k10,10,21,technology,2007-2014,8.038180033994042
B_k10_s21,B_k,k10,10,21,technology,2015-2018,9.65958817385399
B_k10_s21,B_k,k10,10,21,technology,2019-2022,4.0874729964384136
B_k10_s21,B_k,k10,10,21,technology,2023-2026,14.947917490360396
B_k10_s21,B_k,k10,10,21,meta,2007-2014,2.080636750118477
B_k10_s21,B_k,k10,10,21,meta,2015-2018,1.8299845662113512
B_k10_s21,B_k,k10,10,21,meta,2019-2022,3.903586072103483
B_k10_s21,B_k,k10,10,21,meta,2023-2026,13.809241866844483
B_k10_s42,B_k,k10,10,42,operational,2007-2014,70.54907959651851
B_k10_s42,B_k,k10,10,42,operational,2015-2018,67.67497347325843
B_k10_s42,B_k,k10,10,42,operational,2019-2022,58.81275183089504
B_k10_s42,B_k,k10,10,42,operational,2023-2026,39.98204638039245
B_k10_s42,B_k,k10,10,42,institutional,2007-2014,13.896253666886574
B_k10_s42,B_k,k10,10,42,institutional,2015-2018,18.353009372258384
B_k10_s42,B_k,k10,10,42,institutional,2019-2022,16.440565003585007
B_k10_s42,B_k,k10,10,42,institutional,2023-2026,18.20209132636895
B_k10_s42,B_k,k10,10,42,technology,2007-2014,15.137926141687785
B_k10_s42,B_k,k10,10,42,technology,2015-2018,11.540315562215255
