doc_id,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,authors,year,title
doc065,0.012053760699927807,0.05881831794977188,0.0001962190290214494,0.2527098059654236,0.00019618739315774292,0.00019621619139797986,0.1394805610179901,0.04601622372865677,0.4639417231082916,0.0001961963134817779,0.025998640805482864,0.0001961801463039592,Long,2009,Port community systems
doc066,0.05899900197982788,0.00023541392874903977,0.00023540871916338801,0.0002354107127757743,0.0002354167081648484,0.0002354043535888195,0.12442497909069061,0.17836864292621613,0.2329607605934143,0.1474357694387436,0.25639835000038147,0.00023543603310827166,Luciana et al.,2019,Management platform for the port communities
doc067,0.0037083567585796118,0.00012801226694136858,0.00012797013914678246,0.00012797968520317227,0.0001279804273508489,0.014992018230259418,0.5680586099624634,0.00012797520321328193,0.41221705079078674,0.00012797438830602914,0.0001279825810343027,0.00012795977818313986,Lucietti e Chierico,2016,Newly Computerized System for Seamless Management of Enrolment and Access in the Port of Taranto
doc068,0.0017225452465936542,0.02348283864557743,5.2825125749222934e-05,0.06382167339324951,5.282196798361838e-05,5.282506754156202e-05,0.015676302835345268,0.04394605755805969,0.8244797587394714,5.281990161165595e-05,0.013868243433535099,0.012791276909410954,Lupi et al.,2025,Design and Development of a New Web Platform for the Management of Physical Flows and Customs Docume
doc069,0.137456014752388,0.042338162660598755,5.660785609507002e-05,0.36255818605422974,5.661243631038815e-05,0.006154858972877264,0.009609028697013855,5.660904571413994e-05,0.13730493187904358,5.660372335114516e-05,0.30429571866989136,5.661595787387341e-05,Makris e Vradis,2024,"The production of information space in the port of Piraeus digital logistical media, power mutation"
doc070,0.04980288818478584,0.41288748383522034,5.406688796938397e-05,0.02667369320988655,0.006037469487637281,5.407038770499639e-05,5.407298885984346e-05,0.30445998907089233,0.07324803620576859,5.407050048233941e-05,0.12662017345428467,5.4066680604591966e-05,Mamyrova et al.,2025,Comparative analysis of digital technologies and legal frameworks in customs operations A focus on
doc071,0.024573858827352524,0.3661360740661621,0.19042234122753143,0.06908641010522842,7.272195944096893e-05,0.05098602548241615,7.272570655914024e-05,0.1749216467142105,0.0840008333325386,0.03958193585276604,7.271904178196564e-05,7.271662616403773e-05,Melnyk et al.,2025,ANALYTICAL MODEL FOR SHIP GRACE-PERIOD OPTIMIZATION VIA A SINGLE WINDOW PLATFORM A TIANJIN PORT CAS
doc072,6.974396819714457e-05,0.04887846112251282,0.011157232336699963,0.021478887647390366,6.97477298672311e-05,6.974122516112402e-05,0.0803728699684143,6.97450595907867e-05,6.974122516112402e-05,0.4157049059867859,0.4219892621040344,6.973388371989131e-05,Molavi et al.,2020,A framework for building a smart port and smart port index
doc073,0.000144793521030806,0.006234405096620321,0.15611857175827026,0.08092685043811798,0.00014481406833510846,0.10592887550592422,0.00014479260426014662,0.08431727439165115,0.32920897006988525,0.15813565254211426,0.0785500779747963,0.00014479312812909484,Moros-Daza et al.,2016,Assessing the effect of implementing a port community system platform in the response time of an int
doc074,0.008125022985041142,0.0037592032458633184,0.0880817398428917,0.08702374249696732,0.0001740370789775625,0.041435204446315765,0.00017404746904503554,0.041850630193948746,0.18331404030323029,0.22313052415847778,0.322757750749588,0.00017405145626980811,Moros-Daza et al.,2018,A multivariate analysis for the creation of Port Community System approaches
doc075,0.052985381335020065,0.014383881352841854,5.237928417045623e-05,0.17982891201972961,0.2459619641304016,5.23788585269358e-05,5.237933874013834e-05,0.15195845067501068,0.08472156524658203,0.03934185206890106,0.20038220286369324,0.03027869202196598,Moros-Daza et al.,2020,Port Community Systems A structured literature review
doc076,0.6921089291572571,5.9568857977865264e-05,0.0936085432767868,0.018217071890830994,5.957196844974533e-05,5.956919994787313e-05,0.01893717795610428,5.9573460021056235e-05,5.9572808822849765e-05,0.035993561148643494,0.14077749848365784,5.957016401225701e-05,Mubder,2024,The implementation of berth allocation policies that enable Just-in-Time arrival in port calls
